CustomerId,TotalAmount,AvgAmount,StdAmount,MinAmount,MaxAmount,TransactionCount,TotalValue,AvgValue,AvgHour,AvgDay,AvgMonth,UniqueProducts,FraudCount,TopProductCategory,TopChannelId,TopProviderId,Recency,Frequency,Monetary,is_high_risk
CustomerId_1,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,10000.0,10000.0,16.0,21.0,11.0,1,0.0,airtime,ChannelId_2,ProviderId_4,71,1,-10000.0,1
CustomerId_10,-10000.0,-10000.0,0.0,-10000.0,-10000.0,1,10000.0,10000.0,16.0,21.0,11.0,1,0.0,airtime,ChannelId_2,ProviderId_4,71,1,-10000.0,1
CustomerId_1001,20000.0,4000.0,6558.963332722634,-5000.0,10000.0,5,30400.0,6080.0,7.8,16.0,11.0,3,0.0,financial_services,ChannelId_3,ProviderId_4,77,5,20000.0,1
CustomerId_1002,4225.0,384.09090909090907,560.4989660196449,-75.0,1500.0,11,4775.0,434.09090909090907,13.454545454545455,14.727272727272727,8.636363636363637,3,0.0,financial_services,ChannelId_2,ProviderId_4,14,11,4225.0,0
CustomerId_1004,2000.0,2000.0,0.0,2000.0,2000.0,1,2000.0,2000.0,18.0,22.0,12.0,1,0.0,airtime,ChannelId_3,ProviderId_1,40,1,2000.0,1
CustomerId_1005,48800.0,5422.222222222223,5983.6815126178335,-5000.0,10000.0,9,61200.0,6800.0,10.11111111111111,28.0,12.0,3,0.0,financial_services,ChannelId_3,ProviderId_4,34,9,48800.0,1
CustomerId_1006,1000.0,1000.0,0.0,1000.0,1000.0,1,1000.0,1000.0,7.0,11.0,12.0,1,0.0,financial_services,ChannelId_3,ProviderId_5,52,1,1000.0,1
CustomerId_1007,28000.0,28000.0,0.0,28000.0,28000.0,1,28000.0,28000.0,6.0,24.0,11.0,1,0.0,financial_services,ChannelId_3,ProviderId_5,69,1,28000.0,1
CustomerId_1008,20000.0,10000.0,0.0,10000.0,10000.0,2,20000.0,10000.0,13.0,9.0,12.0,1,0.0,financial_services,ChannelId_3,ProviderId_3,53,2,20000.0,1
CustomerId_1009,500.0,500.0,0.0,500.0,500.0,1,500.0,500.0,6.0,17.0,1.0,1,0.0,airtime,ChannelId_3,ProviderId_1,15,1,500.0,0
CustomerId_1010,26335.0,3762.1428571428573,4971.798816946486,-1000.0,10000.0,7,31975.0,4567.857142857143,11.428571428571429,15.571428571428571,8.857142857142858,4,0.0,financial_services,ChannelId_3,ProviderId_4,29,7,26335.0,0
CustomerId_1012,101756.0,1589.9375,3585.594453271777,-1100.0,22000.0,64,108044.0,1688.1875,15.9375,19.40625,8.8125,4,0.0,airtime,ChannelId_3,ProviderId_3,4,64,101756.0,0
CustomerId_1014,763880.0,95485.0,119332.84340149493,1000.0,300000.0,8,763880.0,95485.0,9.125,25.0,12.0,1,0.0,financial_services,ChannelId_3,ProviderId_3,38,8,763880.0,1
CustomerId_1020,292195.0,1439.384236453202,2500.4482251946347,-100.0,10000.0,203,298605.0,1470.960591133005,11.911330049261084,22.788177339901477,10.89655172413793,6,0.0,financial_services,ChannelId_3,ProviderId_6,14,203,292195.0,0
CustomerId_1021,5000.0,5000.0,0.0,5000.0,5000.0,1,5000.0,5000.0,19.0,27.0,11.0,1,0.0,financial_services,ChannelId_3,ProviderId_1,65,1,5000.0,1
CustomerId_1022,7000.0,7000.0,0.0,7000.0,7000.0,1,7000.0,7000.0,13.0,9.0,1.0,1,0.0,airtime,ChannelId_3,ProviderId_6,22,1,7000.0,0
CustomerId_1025,2450.0,245.0,488.87626246321264,-1000.0,500.0,10,4550.0,455.0,15.0,25.8,1.0,3,0.0,airtime,ChannelId_3,ProviderId_6,2,10,2450.0,0
CustomerId_1027,10000.0,10000.0,0.0,10000.0,10000.0,1,10000.0,10000.0,4.0,21.0,1.0,1,0.0,financial_services,ChannelId_3,ProviderId_1,11,1,10000.0,0
CustomerId_1028,500.0,500.0,0.0,500.0,500.0,1,500.0,500.0,9.0,19.0,1.0,1,0.0,financial_services,ChannelId_3,ProviderId_1,13,1,500.0,0
CustomerId_1029,50500.0,6312.5,9059.08186770129,-5000.0,20000.0,8,74500.0,9312.5,9.0,20.375,11.125,5,0.0,financial_services,ChannelId_3,ProviderId_6,59,8,50500.0,1
CustomerId_1030,2350.0,293.75,713.8614811612364,-1000.0,1000.0,8,4650.0,581.25,12.0,8.375,1.0,3,0.0,airtime,ChannelId_2,ProviderId_4,18,8,2350.0,0
CustomerId_1031,106838.8,2136.776,4615.395748241059,-5000.0,23000.0,50,145322.0,2906.44,12.4,15.5,8.26,8,0.0,airtime,ChannelId_3,ProviderId_4,3,50,106838.8,0
CustomerId_1032,2000.0,1000.0,0.0,1000.0,1000.0,2,2000.0,1000.0,1.0,11.0,1.0,2,0.0,airtime,ChannelId_3,ProviderId_5,21,2,2000.0,0
CustomerId_1033,950.0,475.0,742.4621202458749,-50.0,1000.0,2,1050.0,525.0,9.0,9.0,12.0,2,0.0,airtime,ChannelId_2,ProviderId_4,54,2,950.0,1
CustomerId_1034,37708.0,2900.6153846153848,8783.921196694766,-5000.0,28000.0,13,60952.0,4688.615384615385,10.307692307692308,15.461538461538462,11.538461538461538,4,0.0,airtime,ChannelId_3,ProviderId_6,48,13,37708.0,1
CustomerId_1036,-50.0,-16.666666666666668,1000.4165798972613,-1000.0,1000.0,3,2050.0,683.3333333333334,9.0,15.0,11.0,2,0.0,financial_services,ChannelId_2,ProviderId_4,78,3,-50.0,1
